mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	3	1		a.i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	0	0	2/4	3	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	3/16	3/16	2/4	3	1		V	a	i		V	V							M	1	1	1, 5, 2		1	1
2	1	1/4	1/4	2/4	3	1		i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	3/8	3/8	2/4	3	1		iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	2	0	0	2/4	3	1		i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	1/8	1/8	2/4	3	1		ii%43	a	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
3	2	1/4	1/4	2/4	3	1		V\\	a	i		V	V						\\	M	1	1	1, 5, 2		1	1
3	2	3/8	3/8	2/4	3	1		i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	0	0	2/4	3	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
4	3	1/8	1/8	2/4	3	1		v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
4	3	1/4	1/4	2/4	3	1		iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	4	0	0	2/4	3	1		V	a	i		V	V							M	1	1	1, 5, 2		1	1
6	5	0	0	2/4	3	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
6	5	1/4	1/4	2/4	3	1		iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	5	3/8	3/8	2/4	3	1		IVM7/III	a	i		IVM7/III	IV	M	7		III			MM7	1	1	-4, 0, -3, 1		-4	-4
7	6	0	0	2/4	3	1		V7(4)/III	a	i		V7(4)/III	V		7	4	III			Mm7	1	1	-2, -3, -1, -4		-2	-2
7	6	1/8	1/8	2/4	3	1		V7/III	a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
7	6	3/8	3/8	2/4	3	1		V6	a	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	7	0	0	2/4	3	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
8	7	1/8	1/8	2/4	3	1		V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	7	1/4	1/4	2/4	3	1		iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	7	3/8	3/8	2/4	3	1		#viio7	a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
9	8	0	0	2/4	3	1		VI6	a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
9	8	1/8	1/8	2/4	3	1		V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	1/4	1/4	2/4	3	1		iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
9	8	3/8	3/8	2/4	3	1		#viio7	a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
