mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.16666666666666666		0	0	4/4	3	1	1/24		1/16	2/3		-1	41	F2	2	2
1	1	1/6	0.16666666666666666		1/24	1/24	4/4	3	1	1/24		1/16	2/3		0	48	C3	3	3
1	1	1/3	0.16666666666666666		1/12	1/12	4/4	3	1	1/24		1/16	2/3		-1	53	F3	3	4
1	1	1/2	0.16666666666666666		1/8	1/8	4/4	3	1	1/24		1/16	2/3		3	57	A3	3	5
1	1	2/3	0.16666666666666666		1/6	1/6	4/4	3	1	1/24		1/16	2/3		0	60	C4	4	6
1	1	5/6	0.16666666666666666		5/24	5/24	4/4	3	1	1/24		1/16	2/3		-1	65	F4	4	7
1	1	1	0.16666666666666666		1/4	1/4	4/4	3	1	1/24		1/16	2/3		-1	53	F3	3	8
1	1	7/6	0.16666666666666666		7/24	7/24	4/4	3	1	1/24		1/16	2/3		0	60	C4	4	9
1	1	4/3	0.16666666666666666		1/3	1/3	4/4	3	1	1/24		1/16	2/3		-1	65	F4	4	10
1	1	3/2	0.16666666666666666		3/8	3/8	4/4	3	1	1/24		1/16	2/3		3	69	A4	4	11
1	1	5/3	0.16666666666666666		5/12	5/12	4/4	3	1	1/24		1/16	2/3		0	72	C5	5	12
1	1	11/6	0.16666666666666666		11/24	11/24	4/4	3	1	1/24		1/16	2/3		-1	77	F5	5	13
1	1	2	0.5		1/2	1/2	4/4	2	1	1/8		1/8	1		3	81	A5	5	0
1	1	3	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		-1	65	F4	4	14
1	1	3	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	14
1	1	3	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		5	71	B4	4	14
1	1	3	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		2	74	D5	5	14
1	1	3	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		-4	80	Ab5	5	1
1	1	3	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		5	83	B5	5	1
1	1	3	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		2	86	D6	6	1
2	2	4	0.16666666666666666		0	0	4/4	3	1	1/24		1/16	2/3		4	40	E2	2	18
2	2	4	1.5		0	0	4/4	2	1	3/8		1/4	3/2		2	74	D5	5	15
2	2	25/6	0.16666666666666666		1/24	1/24	4/4	3	1	1/24		1/16	2/3		2	50	D3	3	19
2	2	13/3	0.16666666666666666		1/12	1/12	4/4	3	1	1/24		1/16	2/3		1	55	G3	3	20
2	2	9/2	0.16666666666666666		1/8	1/8	4/4	3	1	1/24		1/16	2/3		2	62	D4	4	21
2	2	14/3	0.16666666666666666		1/6	1/6	4/4	3	1	1/24		1/16	2/3		4	64	E4	4	22
2	2	29/6	0.16666666666666666		5/24	5/24	4/4	3	1	1/24		1/16	2/3		1	67	G4	4	23
2	2	5	0.16666666666666666		1/4	1/4	4/4	3	1	1/24		1/16	2/3		4	52	E3	3	24
2	2	31/6	0.16666666666666666		7/24	7/24	4/4	3	1	1/24		1/16	2/3		2	62	D4	4	25
2	2	16/3	0.16666666666666666		1/3	1/3	4/4	3	1	1/24		1/16	2/3		1	67	G4	4	26
2	2	11/2	0.16666666666666666		3/8	3/8	4/4	3	1	1/24		1/16	2/3		2	74	D5	5	27
2	2	17/3	0.16666666666666666		5/12	5/12	4/4	3	1	1/24		1/16	2/3		4	76	E5	5	28
2	2	35/6	0.16666666666666666		11/24	11/24	4/4	3	1	1/24		1/16	2/3		1	79	G5	5	29
2	2	6	0.5		1/2	1/2	4/4	2	1	1/8		1/8	1		2	86	D6	6	16
2	2	7	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		4	64	E4	4	30
2	2	7	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		1	67	G4	4	30
2	2	7	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		0	72	C5	5	30
2	2	7	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		4	76	E5	5	17
2	2	7	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		1	79	G5	5	17
2	2	7	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		0	84	C6	6	17
3	3	8	0.16666666666666666		0	0	4/4	3	1	1/24		1/16	2/3		2	38	D2	2	33
3	3	49/6	0.16666666666666666		1/24	1/24	4/4	3	1	1/24		1/16	2/3		-2	46	Bb2	2	34
3	3	25/3	0.16666666666666666		1/12	1/12	4/4	3	1	1/24		1/16	2/3		2	50	D3	3	35
3	3	17/2	0.16666666666666666		1/8	1/8	4/4	3	1	1/24		1/16	2/3		-1	53	F3	3	36
3	3	26/3	0.16666666666666666		1/6	1/6	4/4	3	1	1/24		1/16	2/3		-2	58	Bb3	3	37
3	3	53/6	0.16666666666666666		5/24	5/24	4/4	3	1	1/24		1/16	2/3		2	62	D4	4	38
3	3	9	0.16666666666666666		1/4	1/4	4/4	3	1	1/24		1/16	2/3		-1	53	F3	3	39
3	3	55/6	0.16666666666666666		7/24	7/24	4/4	3	1	1/24		1/16	2/3		-2	58	Bb3	3	40
3	3	28/3	0.16666666666666666		1/3	1/3	4/4	3	1	1/24		1/16	2/3		2	62	D4	4	41
3	3	19/2	0.16666666666666666		3/8	3/8	4/4	3	1	1/24		1/16	2/3		-1	65	F4	4	42
3	3	29/3	0.16666666666666666		5/12	5/12	4/4	3	1	1/24		1/16	2/3		-2	70	Bb4	4	43
3	3	59/6	0.16666666666666666		11/24	11/24	4/4	3	1	1/24		1/16	2/3		2	74	D5	5	44
3	3	10	0.5		1/2	1/2	4/4	2	1	1/8		1/8	1		-1	77	F5	5	31
3	3	11	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		2	62	D4	4	45
3	3	11	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		4	64	E4	4	45
3	3	11	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		1	67	G4	4	45
3	3	11	0.5		3/4	3/4	4/4	3	1	1/8		1/8	1		-2	70	Bb4	4	45
3	3	11	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		4	76	E5	5	32
